Biker_Age,Biker_Occupation,Biker_Education_Level,Riding_Experience,Daily_Travel_Distance,Talk_While_Riding,Smoke_While_Riding,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
27,Student,Above high school,2,4,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Morning,6,50,91,1,0,Moderate Accident
22,Student,Above high school,4,4,Regularly,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,6,50,109,1,0,Moderate Accident
18,Student,Above high school,2,36,Never,Sometimes,No,Bought with own money,No,New,Village Road,Wet,Rainy,Night,3,50,111,2,1,Moderate Accident
28,Student,Above high school,1,0,Never,Never,No,Inherited,Yes,Old,Village Road,Dry,Clear,Afternoon,6,50,95,1,0,Moderate Accident
18,Student,Above high school,3,6,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,6,50,74,3,0,Moderate Accident
24,Student,Above high school,1,38,Never,Never,No,Inherited,Yes,New,Village Road,Wet,Rainy,Afternoon,1,50,97,2,0,Moderate Accident
29,Student,Above high school,0,1,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Clear,Morning,3,50,75,2,0,Moderate Accident
16,Student,Above high school,0,41,Regularly,Never,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,3,50,70,3,0,Moderate Accident
19,Student,Above high school,3,24,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Night,2,50,59,2,0,Moderate Accident
28,Student,Above high school,3,8,Never,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,8,50,72,2,0,Moderate Accident
23,Student,Above high school,4,19,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Noon,6,50,84,3,0,Moderate Accident
23,Student,Above high school,1,29,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,5,50,67,1,0,Moderate Accident
18,Student,Above high school,0,10,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Clear,Evening,2,50,77,3,0,Moderate Accident
16,Student,Above high school,5,31,Regularly,Never,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Morning,7,50,71,3,1,Moderate Accident
27,Student,Above high school,2,30,Never,Sometimes,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,6,50,65,2,0,Moderate Accident
17,Student,Above high school,3,41,Never,Never,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,7,50,107,1,0,Moderate Accident
26,Student,Above high school,4,44,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,5,50,68,2,0,Moderate Accident
25,Student,Above high school,0,37,Never,Never,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Noon,7,50,60,1,0,Moderate Accident
28,Student,Above high school,3,32,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,8,50,87,2,0,Moderate Accident
27,Student,Above high school,1,41,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Morning,5,50,92,3,0,Moderate Accident
30,Student,Above high school,1,6,Never,Sometimes,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,4,50,75,2,0,Moderate Accident
25,Student,Above high school,0,21,Never,Never,No,Inherited,No,Old,Village Road,Dry,Clear,Night,3,50,65,3,0,Moderate Accident
17,Student,Above high school,4,22,Regularly,Sometimes,Yes,Inherited,No,New,Village Road,Dry,Foggy,Afternoon,1,50,74,1,0,Moderate Accident
24,Student,Above high school,0,25,Never,Never,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Noon,3,50,115,1,0,Moderate Accident
27,Student,Above high school,3,8,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,8,50,88,3,0,Moderate Accident
30,Student,Above high school,0,19,Regularly,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Foggy,Evening,2,50,80,3,0,Moderate Accident
15,Student,Above high school,3,1,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,2,50,82,2,0,Moderate Accident
30,Student,Above high school,4,19,Never,Never,No,Inherited,No,New,Village Road,Dry,Clear,Afternoon,3,50,96,1,0,Moderate Accident
26,Student,Above high school,3,16,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Night,4,50,98,3,0,Moderate Accident
29,Student,Above high school,5,29,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,5,50,112,1,0,Moderate Accident
17,Student,Above high school,4,43,Regularly,Sometimes,Yes,Inherited,Yes,New,Village Road,Dry,Clear,Noon,7,50,84,1,0,Moderate Accident
30,Student,Above high school,0,21,Regularly,Never,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,7,50,111,3,0,Moderate Accident
29,Student,Above high school,2,0,Never,Sometimes,No,Bought with own money,No,New,Village Road,Wet,Rainy,Morning,6,50,66,2,0,Moderate Accident
27,Student,Above high school,2,49,Never,Never,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,4,50,82,1,1,Moderate Accident
21,Student,Above high school,1,12,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,5,50,105,1,0,Moderate Accident
28,Student,Above high school,4,37,Never,Never,No,Inherited,Yes,New,Village Road,Wet,Rainy,Afternoon,3,50,58,3,0,Moderate Accident
16,Student,Above high school,1,14,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Noon,7,50,66,3,0,Moderate Accident
28,Student,Above high school,3,1,Regularly,Never,No,Inherited,No,New,Village Road,Dry,Foggy,Afternoon,6,50,72,3,0,Moderate Accident
15,Student,Above high school,0,12,Never,Sometimes,Yes,Inherited,Yes,Old,Village Road,Wet,Rainy,Evening,3,50,91,3,0,Moderate Accident
18,Student,Above high school,5,44,Never,Never,No,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,4,50,66,2,0,Moderate Accident
22,Student,Above high school,2,26,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,1,50,60,2,0,Moderate Accident
16,Student,Above high school,5,36,Never,Never,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Night,7,50,83,3,0,Moderate Accident
22,Student,Above high school,3,47,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,6,50,80,1,0,Moderate Accident
19,Student,Above high school,0,35,Regularly,Never,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Noon,6,50,85,3,0,Moderate Accident
20,Student,Above high school,2,7,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,4,50,95,2,0,Moderate Accident
17,Student,Above high school,4,25,Never,Never,No,Inherited,Yes,New,Village Road,Dry,Clear,Morning,7,50,90,3,0,Moderate Accident
17,Student,Above high school,4,32,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,5,50,65,2,0,Moderate Accident
21,Student,Above high school,1,28,Never,Never,No,Bought with own money,No,New,Village Road,Wet,Rainy,Night,1,50,72,1,0,Moderate Accident
23,Student,Above high school,0,0,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,3,50,110,3,0,Moderate Accident
18,Student,Above high school,3,29,Regularly,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,8,50,73,1,0,Moderate Accident
17,Student,Above high school,5,11,Never,Sometimes,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,6,50,104,1,0,Moderate Accident
16,Student,Above high school,2,13,Never,Never,No,Inherited,No,Old,Village Road,Dry,Clear,Evening,6,50,108,3,0,Moderate Accident
23,Student,Above high school,5,38,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Morning,3,50,70,3,0,Moderate Accident
25,Student,Above high school,3,17,Never,Never,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Afternoon,5,50,58,3,0,Moderate Accident
15,Student,Above high school,2,35,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Clear,Night,7,50,102,2,0,Moderate Accident
30,Student,Above high school,0,31,Regularly,Never,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,1,50,55,3,0,Moderate Accident
15,Student,Above high school,1,18,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Noon,6,50,104,2,0,Moderate Accident
30,Student,Above high school,1,26,Never,Never,Yes,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,4,50,71,2,0,Moderate Accident
15,Student,Above high school,0,4,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Morning,7,50,98,2,0,Moderate Accident
24,Student,Above high school,1,18,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,3,50,58,3,0,Moderate Accident
21,Student,Above high school,0,4,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,1,50,110,1,0,Moderate Accident
22,Student,Above high school,0,2,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,6,50,81,3,0,Moderate Accident
30,Student,Above high school,4,43,Never,Sometimes,Yes,Inherited,No,New,Village Road,Wet,Rainy,Noon,1,50,106,1,0,Moderate Accident
30,Student,Above high school,0,2,Never,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,7,50,64,3,0,Moderate Accident
30,Student,Above high school,3,18,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Evening,3,50,105,2,0,Moderate Accident
18,Student,Above high school,0,37,Never,Never,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Morning,2,50,70,3,0,Moderate Accident
18,Student,Above high school,4,41,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,6,50,86,2,0,Moderate Accident
19,Student,Above high school,1,18,Regularly,Never,No,Inherited,No,New,Village Road,Dry,Foggy,Night,1,50,115,1,0,Moderate Accident
18,Student,Above high school,3,34,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,4,50,68,1,1,Moderate Accident
26,Student,Above high school,5,21,Never,Never,No,Inherited,No,Old,Village Road,Dry,Clear,Noon,6,50,114,1,0,Moderate Accident
18,Student,Above high school,0,36,Regularly,Sometimes,Yes,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,1,50,91,1,0,Moderate Accident
17,Student,Above high school,5,44,Never,Never,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,5,50,57,3,0,Moderate Accident
20,Student,Above high school,0,33,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,7,50,91,3,0,Moderate Accident
19,Student,Above high school,2,43,Regularly,Never,Yes,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Night,5,50,56,1,0,Moderate Accident
17,Student,Above high school,4,5,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,5,50,85,3,0,Moderate Accident
26,Student,Above high school,5,33,Never,Never,No,Inherited,Yes,New,Village Road,Dry,Clear,Noon,2,50,94,2,0,Moderate Accident
20,Student,Above high school,1,2,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,2,50,82,3,0,Moderate Accident
25,Student,Above high school,3,49,Never,Never,No,Inherited,No,New,Village Road,Wet,Rainy,Evening,2,50,56,2,0,Moderate Accident
20,Student,Above high school,3,20,Regularly,Sometimes,Yes,Inherited,Yes,Old,Village Road,Dry,Clear,Morning,6,50,109,2,0,Moderate Accident
28,Student,Above high school,1,10,Regularly,Never,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,3,50,103,2,0,Moderate Accident
25,Student,Above high school,1,12,Never,Sometimes,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Night,7,50,112,2,0,Moderate Accident
30,Student,Above high school,3,18,Never,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,2,50,113,2,0,Moderate Accident
30,Student,Above high school,5,7,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Noon,5,50,98,1,0,Moderate Accident
20,Student,Above high school,4,22,Never,Never,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Afternoon,1,50,115,2,0,Moderate Accident
22,Student,Above high school,2,38,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,2,50,79,2,0,Moderate Accident
25,Student,Above high school,1,40,Regularly,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,7,50,64,3,0,Moderate Accident
27,Student,Above high school,4,43,Never,Sometimes,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Night,7,50,111,3,0,Moderate Accident
25,Student,Above high school,3,12,Never,Never,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,8,50,109,3,0,Moderate Accident
22,Student,Above high school,4,21,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Noon,8,50,59,3,0,Moderate Accident
23,Student,Above high school,5,13,Never,Never,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,6,50,100,1,0,Moderate Accident
23,Student,Above high school,4,21,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Evening,5,50,115,2,0,Moderate Accident
18,Student,Above high school,4,20,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Morning,7,50,80,2,0,Moderate Accident
22,Student,Above high school,3,20,Never,Sometimes,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,1,50,88,2,0,Moderate Accident
15,Student,Above high school,5,26,Never,Never,No,Inherited,Yes,Old,Village Road,Dry,Clear,Night,4,50,109,1,1,Moderate Accident
27,Student,Above high school,2,42,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,5,50,63,2,0,Moderate Accident
21,Student,Above high school,1,1,Never,Never,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Noon,7,50,106,2,0,Moderate Accident
16,Student,Above high school,4,25,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,7,50,99,2,0,Moderate Accident
27,Student,Above high school,2,41,Regularly,Never,Yes,Bought with own money,No,New,Village Road,Dry,Foggy,Morning,1,50,74,3,0,Moderate Accident
19,Student,Above high school,4,18,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,5,50,63,3,0,Moderate Accident
23,Student,Above high school,5,23,Never,Never,No,Inherited,No,Old,Village Road,Dry,Clear,Night,6,50,85,1,0,Moderate Accident
18,Student,Above high school,5,40,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,4,50,97,3,0,Moderate Accident
21,Student,Above high school,4,7,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Noon,6,50,86,1,0,Moderate Accident
15,Student,Above high school,5,6,Regularly,Sometimes,Yes,Inherited,No,New,Village Road,Dry,Clear,Afternoon,5,50,77,1,0,Moderate Accident
16,Student,Above high school,2,46,Regularly,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Evening,1,50,80,1,0,Moderate Accident
17,Student,Above high school,3,33,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,1,50,95,3,0,Moderate Accident
20,Student,Above high school,1,0,Never,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,3,50,60,1,0,Moderate Accident
22,Student,Above high school,1,19,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,7,50,55,2,0,Moderate Accident
18,Student,Above high school,0,18,Never,Never,No,Inherited,No,New,Village Road,Wet,Rainy,Afternoon,4,50,92,2,0,Moderate Accident
15,Student,Above high school,4,19,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Noon,8,50,74,2,0,Moderate Accident
27,Student,Above high school,0,29,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,3,50,72,3,0,Moderate Accident
27,Student,Above high school,0,30,Never,Sometimes,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Morning,7,50,82,3,0,Moderate Accident
15,Student,Above high school,5,4,Never,Never,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,8,50,78,1,0,Moderate Accident
22,Student,Above high school,3,0,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Night,4,50,99,1,0,Moderate Accident
30,Student,Above high school,4,43,Never,Never,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,8,60,91,2,0,Moderate Accident
22,Student,Above high school,4,45,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Noon,4,60,87,3,0,Moderate Accident
25,Student,Above high school,5,47,Regularly,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,4,60,105,3,0,Moderate Accident
25,Student,Above high school,5,26,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Evening,8,60,103,2,0,Moderate Accident
20,Student,Above high school,2,1,Never,Never,No,Inherited,No,New,Village Road,Dry,Clear,Morning,2,60,95,3,1,Moderate Accident
25,Student,Above high school,2,43,Regularly,Sometimes,Yes,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,5,60,81,3,0,Moderate Accident
19,Student,Above high school,4,9,Never,Never,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Night,7,60,92,2,0,Moderate Accident
28,Student,Above high school,5,16,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,5,60,106,3,0,Moderate Accident
26,Student,Above high school,4,23,Regularly,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,7,60,84,2,0,Moderate Accident
19,Student,Above high school,5,9,Never,Sometimes,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,4,60,71,1,0,Moderate Accident
25,Student,Above high school,0,3,Never,Never,No,Inherited,Yes,Old,Village Road,Dry,Clear,Morning,8,60,98,2,0,Moderate Accident
21,Student,Above high school,1,7,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,5,60,101,1,0,Moderate Accident
25,Student,Above high school,0,22,Never,Never,No,Inherited,Yes,New,Village Road,Wet,Rainy,Night,1,60,106,2,0,Moderate Accident
22,Student,Above high school,1,18,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Clear,Afternoon,5,60,81,3,0,Moderate Accident
16,Student,Above high school,1,1,Regularly,Never,No,Bought with own money,No,New,Village Road,Dry,Foggy,Noon,1,60,66,3,0,Moderate Accident
21,Student,Above high school,2,10,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,6,60,91,2,0,Moderate Accident
27,Student,Above high school,2,22,Never,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Evening,7,60,101,3,0,Moderate Accident
20,Student,Above high school,2,2,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Morning,1,60,84,3,0,Moderate Accident
15,Student,Above high school,1,17,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,2,60,84,2,0,Moderate Accident
19,Student,Above high school,5,7,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Clear,Night,3,60,77,1,0,Moderate Accident
19,Student,Above high school,2,42,Regularly,Never,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,8,60,65,1,0,Moderate Accident
28,Student,Above high school,0,15,Never,Sometimes,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Noon,5,60,86,3,0,Moderate Accident
30,Student,Above high school,2,42,Never,Never,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,5,60,109,2,0,Moderate Accident
19,Student,Above high school,4,4,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Morning,8,60,115,1,0,Moderate Accident
20,Student,Above high school,1,1,Never,Never,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,4,60,91,2,0,Moderate Accident
29,Student,Above high school,4,45,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Night,8,60,71,1,1,Moderate Accident
21,Student,Above high school,3,14,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,4,60,97,3,0,Moderate Accident
